Services,Problématiques,Questions,Réponses,Suite Réponses
Al'in,Création de demande de logement social,Comment puis-je créer une demande de logement social sur Al'in ?,"Bonjour, nous avons bien reçu votre message. Afin d'avoir accès à nos offres de logements sociaux, vous devez tout d'abord vous rendre sur le site du SNE, disponible sur le lien suivant : https://www.demande-logement-social.gouv.fr/ afin de créer votre demande de logement social. Nous vous invitons à suivre toutes les étapes qui vous y seront décrites afin d'obtenir votre numéro unique. 
Par la suite, vous devez vous rendre sur le site de la plateforme locative Al'in disponible sur le lien suivant : https://al-in.fr/#/deco afin de créer votre compte et avoir accès à nos offres de logement. Vous retrouverez toutes les informations nécessaires en cliquant sur le lien suivant : https://www.actionlogement.fr/plateforme-locative/salaries. En espérant avoir pu vous éclairer.
Bien cordialement, ^",
Al'in,Création de demande de logement social,Quelles sont les étapes à suivre pour soumettre ma demande en ligne ?,"Bonjour, nous avons bien reçu votre message. Afin d'avoir accès à nos offres de logements sociaux, vous devez tout d'abord vous rendre sur le site du SNE, disponible sur le lien suivant : https://www.demande-logement-social.gouv.fr/ afin de créer votre demande de logement social. Nous vous invitons à suivre toutes les étapes qui vous y seront décrites afin d'obtenir votre numéro unique. 
Par la suite, vous devez vous rendre sur le site de la plateforme locative Al'in disponible sur le lien suivant : https://al-in.fr/#/deco afin de créer votre compte et avoir accès à nos offres de logement. Vous retrouverez toutes les informations nécessaires en cliquant sur le lien suivant : https://www.actionlogement.fr/plateforme-locative/salaries. En espérant avoir pu vous éclairer.
Bien cordialement, ^",
Al'in,Création de demande de logement social,Quels documents sont nécessaires pour soumettre une demande de logement social ?,"Bonjour, nous avons bien reçu votre message. Afin d'avoir accès à nos offres de logements sociaux, vous devez tout d'abord vous rendre sur le site du SNE, disponible sur le lien suivant : https://www.demande-logement-social.gouv.fr/ afin de créer votre demande de logement social. Nous vous invitons à suivre toutes les étapes qui vous y seront décrites afin d'obtenir votre numéro unique. 
Par la suite, vous devez vous rendre sur le site de la plateforme locative Al'in disponible sur le lien suivant : https://al-in.fr/#/deco afin de créer votre compte et avoir accès à nos offres de logement. Vous retrouverez toutes les informations nécessaires en cliquant sur le lien suivant : https://www.actionlogement.fr/plateforme-locative/salaries. En espérant avoir pu vous éclairer.
Bien cordialement, ^",
Al'in,Envoi & modification de pièces,Comment puis-je envoyer ou modifier les documents requis pour ma demande ?,"Bonjour, nous avons bien reçu votre message. Désormais, pour effectuer toute modification de situation ou tout dépôt de pièce, vous devez passer par le site du SNE : https://www.demande-logement-social.gouv.fr/index.
Une fois les modifications effectuées, vous pourrez retourner sur Al'in puis cliquer sur """"Mettre à jour ma demande"""" puis valider la saisie.
Bien cordialement, ^",
Al'in,Envoi & modification de pièces,Est-il possible de modifier mes pièces justificatives après avoir soumis ma demande ?,"Bonjour, nous avons bien reçu votre message. Désormais, pour effectuer toute modification de situation ou tout dépôt de pièce, vous devez passer par le site du SNE : https://www.demande-logement-social.gouv.fr/index.
Une fois les modifications effectuées, vous pourrez retourner sur Al'in puis cliquer sur """"Mettre à jour ma demande"""" puis valider la saisie.
Bien cordialement, ^",
Al'in,Envoi & modification de pièces,Quels types de formats de fichiers sont acceptés pour les pièces justificatives ?,"Bonjour, nous avons bien reçu votre message. Désormais, pour effectuer toute modification de situation ou tout dépôt de pièce, vous devez passer par le site du SNE : https://www.demande-logement-social.gouv.fr/index.
Une fois les modifications effectuées, vous pourrez retourner sur Al'in puis cliquer sur """"Mettre à jour ma demande"""" puis valider la saisie.
Bien cordialement, ^",
Al'in,Une personne rencontre des problèmes pour l'envoi de ses pièces justificatives ,Que faire si je rencontre un problème technique lors de l'envoi de mes pièces justificatives ?,"Bonjour, nous avons bien reçu votre message. Désormais, pour effectuer toute modification de situation ou tout dépôt de pièce, vous devez passer par le site du SNE : https://www.demande-logement-social.gouv.fr/index Une fois les modifications effectuées, vous pourrez retourner sur Al'in puis cliquer sur ""Mettre à jour ma demande"" puis valider la saisie.
Si votre problème persiste, nous vous invitons à vous rapprocher du service client du site du gouvernement.
Bien cordialement, ^",
Al'in,Une personne rencontre des problèmes pour l'envoi de ses pièces justificatives ,Qui contacter en cas de problème d'envoi de documents ?,"Bonjour, nous avons bien reçu votre message. Désormais, pour effectuer toute modification de situation ou tout dépôt de pièce, vous devez passer par le site du SNE : https://www.demande-logement-social.gouv.fr/index Une fois les modifications effectuées, vous pourrez retourner sur Al'in puis cliquer sur ""Mettre à jour ma demande"" puis valider la saisie.
Si votre problème persiste, nous vous invitons à vous rapprocher du service client du site du gouvernement.
Bien cordialement, ^",
Al'in,Une personne rencontre des problèmes pour l'envoi de ses pièces justificatives ,Existe-t-il une limite de taille pour les fichiers que je peux envoyer ?,"Bonjour, nous avons bien reçu votre message. Désormais, pour effectuer toute modification de situation ou tout dépôt de pièce, vous devez passer par le site du SNE : https://www.demande-logement-social.gouv.fr/index Une fois les modifications effectuées, vous pourrez retourner sur Al'in puis cliquer sur ""Mettre à jour ma demande"" puis valider la saisie.
Si votre problème persiste, nous vous invitons à vous rapprocher du service client du site du gouvernement.
Bien cordialement, ^",
Al'in,Certaines pièces possèdent un signet vert et d'autres non ,Que signifie un signet vert sur certains de mes documents ?,"
Merci pour ce retour, lors du dépôt des pièces jointes, celles-ci sont considérées comme valides sauf réception d'une notification expresse de refus ou impossibilité de se positionner sur un logement. A noter que les PJ obligatoires sont nécessairement validées en amont de toute candidature. Les autres pièces devant être étudiées en commission si votre dossier est présélectionné. Bien cordialement, ^
",
Al'in,Certaines pièces possèdent un signet vert et d'autres non ,Pourquoi certains de mes documents n'ont-ils pas de signet vert ?,"
Merci pour ce retour, lors du dépôt des pièces jointes, celles-ci sont considérées comme valides sauf réception d'une notification expresse de refus ou impossibilité de se positionner sur un logement. A noter que les PJ obligatoires sont nécessairement validées en amont de toute candidature. Les autres pièces devant être étudiées en commission si votre dossier est présélectionné. Bien cordialement, ^
",
Al'in,Certaines pièces possèdent un signet vert et d'autres non ,Comment obtenir un signet vert pour tous mes documents ?,"
Merci pour ce retour, lors du dépôt des pièces jointes, celles-ci sont considérées comme valides sauf réception d'une notification expresse de refus ou impossibilité de se positionner sur un logement. A noter que les PJ obligatoires sont nécessairement validées en amont de toute candidature. Les autres pièces devant être étudiées en commission si votre dossier est présélectionné. Bien cordialement, ^
",
Al'in,Code de l'entreprise ,À quoi sert le code de l'entreprise dans le processus de demande ?,"Dans la rubrique """"Situation professionnelle"""", lorsque vous renseignez le numéro de SIRET, si votre employeur cotise bien au 1% logement, le code de l'entreprise remontera de façon automatique. 
Bien cordialement, ^",
Al'in,Code de l'entreprise ,Est-il possible de modifier le code de l'entreprise une fois la demande soumise ?,"Dans la rubrique """"Situation professionnelle"""", lorsque vous renseignez le numéro de SIRET, si votre employeur cotise bien au 1% logement, le code de l'entreprise remontera de façon automatique. 
Bien cordialement, ^",
Al'in,Code de l'entreprise ,Le code de l'entreprise est il obligatoire dans le processus de la demande? ,"Dans la rubrique """"Situation professionnelle"""", lorsque vous renseignez le numéro de SIRET, si votre employeur cotise bien au 1% logement, le code de l'entreprise remontera de façon automatique. 
Bien cordialement, ^",
Al'in,SIRET,Comment puis-je obtenir le numéro SIRET de mon entreprise pour ma demande ?,"Bonjour, nous avons bien reçu votre message. Si aucune offre ne vous est proposée, il se peut que la plateforme locative ne dispose pas pour le moment d'offres adaptées aux critères que vous avez renseigné. Nous vous invitons à élargir votre zone de recherche ou à patienter que de nouvelles offres correspondant à vos critères soient déposées sur la plateforme. 
Bien cordialement, ^ ",
Al'in,SIRET,j’aimerais savoir si dans mon dossier le fait d’avoir mis le numéro SIRET de mon entreprise le 1% patronal est bien pris en compte ou pas ?,"Bonjour, nous avons bien reçu votre message. Si aucune offre ne vous est proposée, il se peut que la plateforme locative ne dispose pas pour le moment d'offres adaptées aux critères que vous avez renseigné. Nous vous invitons à élargir votre zone de recherche ou à patienter que de nouvelles offres correspondant à vos critères soient déposées sur la plateforme. 
Bien cordialement, ^ ",
Al'in,SIRET,Où dois-je entrer mon numéro SIRET lors de la complétion de ma demande de logement en ligne chez Al'in ?,"Bonjour, nous avons bien reçu votre message. Si aucune offre ne vous est proposée, il se peut que la plateforme locative ne dispose pas pour le moment d'offres adaptées aux critères que vous avez renseigné. Nous vous invitons à élargir votre zone de recherche ou à patienter que de nouvelles offres correspondant à vos critères soient déposées sur la plateforme. 
Bien cordialement, ^ ",
Al'in,DALO,Quelles sont les démarches pour faire une demande DALO ?,"Bonjour, nous avons bien reçu votre message et sommes navrés de votre situation. Il existe un statut permettant d'être priorisé pour les demandes de logement. Ce statut nommé DALO (Droit au Logement Opposable) permet aux personnes mal logées d’être reconnues prioritaires afin de faire valoir leur droit à un logement ou un hébergement digne. Pour être reconnu DALO, il faut déposer un dossier devant une commission de médiation. Vous retrouverez l'ensemble des informations relatives à ce statut sur le lien suivant : https://www.actionlogement.fr/qu-est-ce-que-le-droit-au-logement-opposable-dalo-et-comment-etre-reconnu-dalo
En espérant avoir pu vous éclairer. 
Bien cordialement, ^",
Al'in,DALO,Comment puis-je savoir si je suis éligible au dispositif DALO ?,"Bonjour, nous avons bien reçu votre message et sommes navrés de votre situation. Il existe un statut permettant d'être priorisé pour les demandes de logement. Ce statut nommé DALO (Droit au Logement Opposable) permet aux personnes mal logées d’être reconnues prioritaires afin de faire valoir leur droit à un logement ou un hébergement digne. Pour être reconnu DALO, il faut déposer un dossier devant une commission de médiation. Vous retrouverez l'ensemble des informations relatives à ce statut sur le lien suivant : https://www.actionlogement.fr/qu-est-ce-que-le-droit-au-logement-opposable-dalo-et-comment-etre-reconnu-dalo
En espérant avoir pu vous éclairer. 
Bien cordialement, ^",
Al'in,DALO,Quels documents dois-je préparer pour ma demande DALO ?,"Bonjour, nous avons bien reçu votre message et sommes navrés de votre situation. Il existe un statut permettant d'être priorisé pour les demandes de logement. Ce statut nommé DALO (Droit au Logement Opposable) permet aux personnes mal logées d’être reconnues prioritaires afin de faire valoir leur droit à un logement ou un hébergement digne. Pour être reconnu DALO, il faut déposer un dossier devant une commission de médiation. Vous retrouverez l'ensemble des informations relatives à ce statut sur le lien suivant : https://www.actionlogement.fr/qu-est-ce-que-le-droit-au-logement-opposable-dalo-et-comment-etre-reconnu-dalo
En espérant avoir pu vous éclairer. 
Bien cordialement, ^",
Al'in,Service d'accompagnement social,Comment bénéficier du service d'accompagnement social ?,"Vous trouverez les informations concernant le service d'accompagnement social sur le lien suivant, https://www.actionlogement.fr/le-cil-pass-assistancer-0. Bien cordialement, ^",
Al'in,Service d'accompagnement social,Quels sont les avantages du service d'accompagnement social ?,"Vous trouverez les informations concernant le service d'accompagnement social sur le lien suivant, https://www.actionlogement.fr/le-cil-pass-assistancer-0. Bien cordialement, ^",
Al'in,Service d'accompagnement social,Qui contacter pour plus d'informations sur l'accompagnement social ?,"Vous trouverez les informations concernant le service d'accompagnement social sur le lien suivant, https://www.actionlogement.fr/le-cil-pass-assistancer-0. Bien cordialement, ^",
Al'in,Logement temporaire,Comment puis-je faire une demande de logement temporaire ?,"Bonjour, nous avons bien reçu votre message et nous sommes terriblement navrés de cette situation. Veuillez noter que vous pouvez avoir accès à des logements temporaires en attendant de trouver une solution à votre situation. Vous pouvez retrouver l'ensemble des informations relatives à ce sujet en cliquant sur le lien suivant : https://www.actionlogement.fr/les-residences-temporaires. En espérant avoir pu vous éclairer et que votre situation s'améliore au plus vite.
Bien cordialement, ^",
Al'in,Logement temporaire,Quelles sont les conditions pour obtenir un logement temporaire ?,"Bonjour, nous avons bien reçu votre message et nous sommes terriblement navrés de cette situation. Veuillez noter que vous pouvez avoir accès à des logements temporaires en attendant de trouver une solution à votre situation. Vous pouvez retrouver l'ensemble des informations relatives à ce sujet en cliquant sur le lien suivant : https://www.actionlogement.fr/les-residences-temporaires. En espérant avoir pu vous éclairer et que votre situation s'améliore au plus vite.
Bien cordialement, ^",
Al'in,Logement temporaire,Combien de temps peut-on occuper un logement temporaire ?,"Bonjour, nous avons bien reçu votre message et nous sommes terriblement navrés de cette situation. Veuillez noter que vous pouvez avoir accès à des logements temporaires en attendant de trouver une solution à votre situation. Vous pouvez retrouver l'ensemble des informations relatives à ce sujet en cliquant sur le lien suivant : https://www.actionlogement.fr/les-residences-temporaires. En espérant avoir pu vous éclairer et que votre situation s'améliore au plus vite.
Bien cordialement, ^",
Al'in,1% patronal ,Qui est éligible au 1% patronal ?,"Bonjour, merci de votre message. Afin de déposer une demande de logement social je vous invite à vérifier si vos revenus correspondent https://www.actionlogement.fr/sites/als/files/plafonds-ressources-locatifs_010419.pdf puis à déposer une demande en consultant ce lien, qui vous indiquera la marche à suivre selon votre département de recherche : https://relationclient.actionlogement.fr/demande-logement/
Bien cordialement, ^
",
Al'in,1% patronal ,Comment les contributions au 1% patronal sont-elles calculées ?,"Bonjour, merci de votre message. Afin de déposer une demande de logement social je vous invite à vérifier si vos revenus correspondent https://www.actionlogement.fr/sites/als/files/plafonds-ressources-locatifs_010419.pdf puis à déposer une demande en consultant ce lien, qui vous indiquera la marche à suivre selon votre département de recherche : https://relationclient.actionlogement.fr/demande-logement/
Bien cordialement, ^
",
Al'in,1% patronal ,Quels sont les avantages du 1% patronal pour les employés ?,"Bonjour, merci de votre message. Afin de déposer une demande de logement social je vous invite à vérifier si vos revenus correspondent https://www.actionlogement.fr/sites/als/files/plafonds-ressources-locatifs_010419.pdf puis à déposer une demande en consultant ce lien, qui vous indiquera la marche à suivre selon votre département de recherche : https://relationclient.actionlogement.fr/demande-logement/
Bien cordialement, ^
",
Al'in,Mon entreprise me donne-t-elle le droit de bénéficier d'un logement social ?,Comment savoir si mon entreprise participe au financement de logement social ?,"Bonjour, Les entreprises du secteur privé non-agricole employant plus de 10 salariés et toutes les entreprises du secteur agricole employant plus de 50 salariés, peuvent être partenaires d'Action Logement. De plus certaines de nos aides et services sont ouverts à tous, que vous soyez salarié ou non d'une entreprise cotisante. Afin d'en savoir plus, nous vous invitons à consulter notre site Internet https://www.actionlogement.fr/.Nous vous conseillons aussi de vous rapprocher de votre employeur afin d'en savoir plus sur les éventuelles conditions spécifiques à votre entreprise.
Bien cordialement, ^",
Al'in,Mon entreprise me donne-t-elle le droit de bénéficier d'un logement social ?,Quelles conditions dois-je remplir pour bénéficier du logement social via mon entreprise ?,"Bonjour, Les entreprises du secteur privé non-agricole employant plus de 10 salariés et toutes les entreprises du secteur agricole employant plus de 50 salariés, peuvent être partenaires d'Action Logement. De plus certaines de nos aides et services sont ouverts à tous, que vous soyez salarié ou non d'une entreprise cotisante. Afin d'en savoir plus, nous vous invitons à consulter notre site Internet https://www.actionlogement.fr/.Nous vous conseillons aussi de vous rapprocher de votre employeur afin d'en savoir plus sur les éventuelles conditions spécifiques à votre entreprise.
Bien cordialement, ^",
Al'in,Mon entreprise me donne-t-elle le droit de bénéficier d'un logement social ?,Existe-t-il des restrictions spécifiques concernant l'éligibilité au logement social à travers mon entreprise ?,"Bonjour, Les entreprises du secteur privé non-agricole employant plus de 10 salariés et toutes les entreprises du secteur agricole employant plus de 50 salariés, peuvent être partenaires d'Action Logement. De plus certaines de nos aides et services sont ouverts à tous, que vous soyez salarié ou non d'une entreprise cotisante. Afin d'en savoir plus, nous vous invitons à consulter notre site Internet https://www.actionlogement.fr/.Nous vous conseillons aussi de vous rapprocher de votre employeur afin d'en savoir plus sur les éventuelles conditions spécifiques à votre entreprise.
Bien cordialement, ^",
Al'in,Je ne suis pas salarié ...,Quelles sont les options de logement social pour les non-salariés ?,"Bonjour, notre offre de logement est accessible aux anciens salariés d'une entreprise cotisante et demandeurs d'emploi depuis moins de 6 mois. Quelle que soit votre situation, Action Logement propose différents dispositifs susceptibles de vous accompagner dans votre projet de logement. Nous vous invitons à les découvrir et à tester votre éligibilité sur notre site https://www.actionlogement.fr/. Bien cordialement, ^",
Al'in,Je ne suis pas salarié ...,Comment les non-salariés peuvent-ils prouver leur éligibilité au logement social ?,"Bonjour, notre offre de logement est accessible aux anciens salariés d'une entreprise cotisante et demandeurs d'emploi depuis moins de 6 mois. Quelle que soit votre situation, Action Logement propose différents dispositifs susceptibles de vous accompagner dans votre projet de logement. Nous vous invitons à les découvrir et à tester votre éligibilité sur notre site https://www.actionlogement.fr/. Bien cordialement, ^",
Al'in,Je ne suis pas salarié ...,Y a-t-il des programmes de logement social spécifiques pour les freelancers ou les entrepreneurs individuels ?,"Bonjour, notre offre de logement est accessible aux anciens salariés d'une entreprise cotisante et demandeurs d'emploi depuis moins de 6 mois. Quelle que soit votre situation, Action Logement propose différents dispositifs susceptibles de vous accompagner dans votre projet de logement. Nous vous invitons à les découvrir et à tester votre éligibilité sur notre site https://www.actionlogement.fr/. Bien cordialement, ^",
Al'in,Critères de sélection,Quels sont les critères de sélection pour l'attribution d'un logement social ?,"Bonjour, nous avons bien reçu votre message. Votre profil de demandeur vous permet d’accéder à un volume conséquent d’offres. Comme pour tous demandeurs, vous sont proposées les offres qui correspondent à votre situation (composition familiale, revenus...). Les critères pris en compte sont ceux sur lesquels Action Logement s’est engagé dans la convention quinquennale signée avec l’Etat (âge, taux d’effort, ancienneté de la demande…). Pour en savoir plus sur les critères nous vous invitons à consulter les CGU présentes en bas de page sur Al’In.fr. Nous espérons avoir répondu à votre demande et espérons que vos recherches seront fructueuses.
Bien cordialement, ^",
Al'in,Critères de sélection,Comment les points sont-ils attribués dans le système de sélection ?,"Bonjour, nous avons bien reçu votre message. Votre profil de demandeur vous permet d’accéder à un volume conséquent d’offres. Comme pour tous demandeurs, vous sont proposées les offres qui correspondent à votre situation (composition familiale, revenus...). Les critères pris en compte sont ceux sur lesquels Action Logement s’est engagé dans la convention quinquennale signée avec l’Etat (âge, taux d’effort, ancienneté de la demande…). Pour en savoir plus sur les critères nous vous invitons à consulter les CGU présentes en bas de page sur Al’In.fr. Nous espérons avoir répondu à votre demande et espérons que vos recherches seront fructueuses.
Bien cordialement, ^",
Al'in,Critères de sélection,Est-il possible de contester une décision de non-sélection pour un logement ?,"Bonjour, nous avons bien reçu votre message. Votre profil de demandeur vous permet d’accéder à un volume conséquent d’offres. Comme pour tous demandeurs, vous sont proposées les offres qui correspondent à votre situation (composition familiale, revenus...). Les critères pris en compte sont ceux sur lesquels Action Logement s’est engagé dans la convention quinquennale signée avec l’Etat (âge, taux d’effort, ancienneté de la demande…). Pour en savoir plus sur les critères nous vous invitons à consulter les CGU présentes en bas de page sur Al’In.fr. Nous espérons avoir répondu à votre demande et espérons que vos recherches seront fructueuses.
Bien cordialement, ^",
Al'in,Que signifie les triangles de couleur au dessus des annonces ? ,À quoi correspondent les différents triangles de couleur sur les annonces de logement ?,"Les ""triangles"" vert, orange et rouge sont des indicateurs, ces derniers indiquent le positionnement du candidat par rapport au nombre total de demandeurs qui sont éligibles à cette offre. Le demandeur connait donc précisément sa position par rapport aux personnes qui se sont positionnées sur l'offre.",
Al'in,Que signifie les triangles de couleur au dessus des annonces ? ,Comment les triangles de couleur influencent-ils ma candidature ?,"Les ""triangles"" vert, orange et rouge sont des indicateurs, ces derniers indiquent le positionnement du candidat par rapport au nombre total de demandeurs qui sont éligibles à cette offre. Le demandeur connait donc précisément sa position par rapport aux personnes qui se sont positionnées sur l'offre.",
Al'in,Que signifie les triangles de couleur au dessus des annonces ? ,Y a-t-il une signification spéciale pour chaque couleur de triangle dans les annonces ?,"Les ""triangles"" vert, orange et rouge sont des indicateurs, ces derniers indiquent le positionnement du candidat par rapport au nombre total de demandeurs qui sont éligibles à cette offre. Le demandeur connait donc précisément sa position par rapport aux personnes qui se sont positionnées sur l'offre.",
Al'in,Puis-je me positionner sur plusieurs logements en même temps ?,Est-il permis de candidater à plusieurs logements simultanément ?,"Bonjour, nous avons bien reçu votre message. Malheureusement, vous ne pouvez vous positionner que sur un seul logement à la fois. En vous remerciant de votre compréhension et en nous excusant de la gêne occasionnée.
Bien cordialement, ^",
Al'in,Puis-je me positionner sur plusieurs logements en même temps ?,Y a-t-il une limite au nombre de logements sur lesquels je peux me positionner ?,"Bonjour, nous avons bien reçu votre message. Malheureusement, vous ne pouvez vous positionner que sur un seul logement à la fois. En vous remerciant de votre compréhension et en nous excusant de la gêne occasionnée.
Bien cordialement, ^",
Al'in,Puis-je me positionner sur plusieurs logements en même temps ?,Quelles sont les implications de candidater à plusieurs logements en même temps ?,"Bonjour, nous avons bien reçu votre message. Malheureusement, vous ne pouvez vous positionner que sur un seul logement à la fois. En vous remerciant de votre compréhension et en nous excusant de la gêne occasionnée.
Bien cordialement, ^",
Al'in,Pourquoi je ne vois pas certaines annonces en corrélation avec mes revenus quand je me connecte ? ,Comment les annonces de logement sont-elles filtrées selon les revenus des candidats ?,"En fonction des informations que vous aurez renseignées lors du dépôt de votre demande, la plateforme AL’in vous propose uniquement les offres en adéquation avec votre situation familiale, professionnelle, le secteur de recherche souhaité et les ressources de votre foyer. Comme pour tous demandeurs, vous sont proposées les offres qui correspondent à votre situation. Les critères pris en compte sont ceux sur lesquels Action Logement s’est engagé dans la convention quinquennale signée avec l’Etat (âge, taux d’effort, ancienneté de la demande…). Nous vous invitons ainsi à poursuivre dans la même dynamique de candidatures.
Bien cordialement, ^ ",
